,name,address,sido,gugun
0,거제아주점,경상남도 거제시  아주1로 112,경상남도,거제시
1,거제상문점,경상남도 거제시 문동동 578-13번지,경상남도,거제시
2,거제사등점,경상남도 거제시 거제면 두동로 44,경상남도,거제시
3,거제고현점,경상남도 거제시  거제중앙로5길 28 -1,경상남도,거제시
4,거여2동점,서울특별시 송파구 거여동 35번지 1층,서울특별시,송파구
5,거모점,경기도 시흥시 도일로 143(거모동),경기도,시흥시
6,개포4동점,"서울특별시 강남구  개포로 20길 32, 1층",서울특별시,강남구
7,개포2동점,"서울특별시 강남구   선릉로12길 5, 102-나호",서울특별시,강남구
8,개봉1동점,서울특별시 구로구  고척로21길 17-1,서울특별시,구로구
9,"개금1,2동점",부산광역시 부산진구  엄광로 52-1,부산광역시,부산진구
10,강화점,인천광역시 강화군 강화읍 강화대로 199,인천광역시,강화군
11,강저지구점,충청북도 제천시 영천동 2209,충청북도,제천시
12,강원횡성점,강원도 횡성군 횡성읍 북천리115-52,강원도,횡성군
13,강원장평점,"강원도 평창군 용평면 금송1길 49, 1층",강원도,평창군
14,강릉홍제내곡점,강원도 강릉시  남산초교길 12번길 16,강원도,강릉시
15,강릉포남점,강원도 강릉시  강릉대로 457번길 25,강원도,강릉시
16,강릉택지점,"강원도 강릉시   원대로 128번길, 107호",강원도,강릉시
17,강릉유천점,"강원도 강릉시  선수촌로79-1, 101호(홍제동)",강원도,강릉시
18,강릉성덕점,강원도 강릉시 입암동 498-12,강원도,강릉시
19,강남세곡점,"서울특별시 강남구  밤고개로 227, 지상1층 105호,106호",서울특별시,강남구
20,감정점,"경기도 김포시  북변1로 36, 106호",경기도,김포시
21,갈현2동점,서울특별시 은평구 갈현2동 506-33번지,서울특별시,은평구
22,갈매점,"경기도 구리시 갈매순환로204 8-52, 101호 전면 왼쪽상가",경기도,구리시
23,갈말점,강원도 철원군 갈말읍 명성로139번길 13-22,강원도,철원군
24,간성점,강원도 고성군 간성읍 간성로 67,강원도,고성군
25,간석점,인천광역시  남동구   예술로 278,인천광역시,남동구
26,가평점,경기도 가평군 가평읍 오리나무길 41-15,경기도,가평군
27,가좌1호점,인천광역시 서구 가좌동 7번지,인천광역시,서구
28,가정점,"인천광역시 서구  염곡로498번안길 11-1, 1층 일부",인천광역시,서구
29,가양점,서울특별시 강서구 가양동 1479-3번지 1층 104호,서울특별시,강서구
30,가산점,서울특별시 금천구 가산동 151-25,서울특별시,금천구
31,가락본동점,서울특별시 송파구  송파대로30길 41-34,서울특별시,송파구
32,가곡수동점,경기도 남양주시 수동면 비룡로 716,경기도,남양주시
33,[폐]경북성주점, ,,
