,name,address,telephone,sido,gugun
0,강원홍천군홍천점,강원 홍천군 홍천읍 갈마로,033-435-7983,강원,홍천군
1,강원양구군방산점,강원 양구군 방산면 장거리길,033-481-8892,강원,양구군
2,강원춘천시석사점,강원 춘천시 우석로,033-262-6007,강원,춘천시
3,강원춘천시퇴계점,강원 춘천시 춘주로,033-242-8119,강원,춘천시
4,강원홍천군시동점,강원 홍천군 남면 시동안로,033-432-9288,강원,홍천군
5,강원인제군신남점,강원 인제군 남면 신남로,033-461-0049,강원,인제군
6,강원춘천시교동후평점,강원 춘천시 성심로,033-244-8892,강원,춘천시
7,강원화천군산양리점,강원 화천군 상서면 영서로,033-442-4484,강원,화천군
8,강원양구군동면점,강원 양구군 동면 금강산로,033-482-2292,강원,양구군
9,강원강릉시포남1점,강원 강릉시 성덕포남로,033-652-9976,강원,강릉시
10,강원영월군영월점,강원 영월군 영월읍 은행나무길,033-375-9696,강원,영월군
11,강원강릉시초당점,강원 강릉시 초당원길,033-653-9298,강원,강릉시
12,강원원주시단계점,강원 원주시 원문로,033-748-0213,강원,원주시
13,강원원주시명륜점,강원 원주시 남산로,033-761-9288,강원,원주시
14,강원태백시태백점,강원 태백시 황지로,033-554-4494,강원,태백시
15,강원원주시단관점,강원 원주시 단관초교길,033-748-9494,강원,원주시
16,강원속초시교동점,강원 속초시 동해대로,033-633-4425,강원,속초시
17,강원속초시조양점,강원 속초시 동해대로,033-637-4466,강원,속초시
18,강원원주시문막점,강원 원주시 문막읍 건등로,033-734-4482,강원,원주시
19,강원동해시부곡점,강원 동해시 발한로,033-534-9993,강원,동해시
20,강원양양군양양점,강원 양양군 양양읍 양양로,033-673-4492,강원,양양군
21,강원양양군하조대점,강원 양양군 현북면 조준길,033-672-1658,강원,양양군
22,강원원주시오크밸리점,강원도 원주시 지정면 오크밸리1길,033-730-3737,강원도,원주시
23,강원철원군지경리점,강원 철원군 갈말읍 청양로,033-458-3505,강원,철원군
24,강원인제군서화점(B),강원 인제군 서화면 천도로,033-462-4479,강원,인제군
25,강원화천군다목리점,강원 화천군 상서면 수피령로,033-441-9288,강원,화천군
26,강원평창군진부점,강원 평창군 진부면 진부중앙로,033-336-4492,강원,평창군
27,강원동해시망상점,강원 동해시 동해대로,033-534-3377,강원,동해시
28,강원철원군자등리점,강원 철원군 서면 자등로,033-458-9233,강원,철원군
29,강원홍천군대명비발디점,강원 홍천군 서면 한치골길,033-435-4479,강원,홍천군
